Name,WIGOS ID,Type,Elevation (m),Status,GBON,Latitude,Longitude,OSCAR URL
Craig Head,0-388-302-78397,Surface AWS,829,Closed,No,18.23305556,-77.55472222,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112917
Crawford,0-388-65-78397,Surface AWS,6,Operational,No,18.044955,-77.91005,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/110973
Crawford,0-388-562-78397,Surface AWS,8,Closed,No,18.045278,-77.91,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/122178
Crawle,0-388-465-78397,Surface AWS,6,Closed,No,18.01666667,-76.879444,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/121179
Crofts Hill,0-388-96-78397,Surface AWS,494,Unknown,No,18.14305556,-77.20833333,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/111082
Crofts Hill PWD,0-388-124-78397,Surface AWS,488,Closed,No,18.13,-77.208333,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/111616
Crooked River,0-388-125-78397,Surface AWS,274,Closed,No,18.13333333,-77.3125,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/111617
Cross Keys,0-388-29-78397,Surface AWS,590,Operational,No,17.89305556,-77.50305556,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/110713
Cross Keys,0-388-303-78397,Surface AWS,625,Closed,No,17.897499,-77.504575,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112918
DaCosta,0-388-126-78397,Surface AWS,12,Closed,No,17.798646,-77.232779,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/111618
Dallas,0-388-254-78397,Surface AWS,252,Closed,No,17.98666667,-76.70444444,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112411
Dam Head,0-388-466-78397,Surface AWS,44,Closed,No,18.04444444,-76.98083333,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/121180
Darley,0-388-355-78397,Surface AWS,290,Closed,No,18.16055556,-76.506944,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/113259
Darliston,0-388-813-78397,Surface AWS,427,Closed,No,18.23333333,-77.97388889,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/128143
Dawkins,0-388-467-78397,Surface AWS,6,Closed,No,18.009802,-76.912017,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/121181
Deeside,0-388-761-78397,Surface AWS,137,Closed,No,18.389757,-77.746704,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/127980
Devon,0-388-304-78397,Surface AWS,806,Closed,No,18.16444444,-77.51277778,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112922
Dias,0-388-218-78397,Surface AWS,168,Closed,No,18.391864,-78.197222,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112120
Discovery Bay,0-388-103-78397,Surface AWS,31,Closed,No,18.455,-77.404444,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/111203
Discovery Bay PWD,0-388-397-78397,Surface AWS,31,Closed,No,18.455128,-77.404519,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/113862
Discovery Bay UWI,0-388-398-78397,Surface AWS,10,Closed,No,18.46861111,-77.41583333,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/113863
Dover,0-388-672-78397,Surface AWS,31,Closed,No,18.258317,-76.705447,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/126799
Dover GI,0-388-673-78397,Surface AWS,9,Closed,No,18.2625,-76.705556,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/126800
Dry River,0-388-128-78397,Surface AWS,46,Closed,No,17.87472222,-77.2525,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/111619
Duckenfield,0-388-76-78397,Surface AWS,48,Closed,No,17.922499,-76.255016,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/111019
Duckenfield,0-388-722-78397,Surface AWS,49,Closed,No,17.9226,-76.255527,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/127449
Dumfries,0-388-626-78397,Surface AWS,125,Closed,No,18.43027778,-77.76138889,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/126754
Duncans,0-388-762-78397,Surface AWS,137,Closed,No,18.467656,-77.536275,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/127981
Dunkeld,0-388-305-78397,Surface AWS,488,Closed,No,18.1,-77.508333,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112923
Dunns River,0-388-43-78397,Surface AWS,65,Operational,No,18.295333,-77.277685,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/110920
